incident_id,category,status,satisfaction,clinic_region,reported_at,summary
INC-0053,rrhh,descartado,,US-FL,2026-07-26,incidencia_operativa_053
INC-0054,tecnologia,abierto,,US-GA,2026-07-27,incidencia_operativa_054
INC-0055,direccion_ejecutiva,cerrado,1,UK-LON,2026-07-28,incidencia_operativa_055
INC-0056,operaciones_clinicas,descartado,,US-TX,2026-07-01,incidencia_operativa_056
INC-0057,experiencia_paciente,abierto,,US-FL,2026-07-02,incidencia_operativa_057
INC-0058,facturacion,cerrado,4,US-GA,2026-07-03,incidencia_operativa_058
INC-0059,cumplimiento_datos,descartado,,UK-LON,2026-07-04,incidencia_operativa_059
INC-0060,rrhh,abierto,,US-TX,2026-07-05,incidencia_operativa_060
INC-0061,tecnologia,cerrado,2,US-FL,2026-07-06,incidencia_operativa_061
INC-0062,direccion_ejecutiva,descartado,,US-GA,2026-07-07,incidencia_operativa_062
INC-0063,operaciones_clinicas,abierto,,UK-LON,2026-07-08,incidencia_operativa_063
INC-0064,experiencia_paciente,cerrado,5,US-TX,2026-07-09,incidencia_operativa_064
INC-0065,facturacion,descartado,,US-FL,2026-07-10,incidencia_operativa_065
INC-0066,cumplimiento_datos,abierto,,US-GA,2026-07-11,incidencia_operativa_066
INC-0067,rrhh,cerrado,3,UK-LON,2026-07-12,incidencia_operativa_067
INC-0068,tecnologia,descartado,,US-TX,2026-07-13,incidencia_operativa_068
INC-0069,direccion_ejecutiva,abierto,,US-FL,2026-07-14,incidencia_operativa_069
INC-0070,operaciones_clinicas,cerrado,1,US-GA,2026-07-15,incidencia_operativa_070
INC-0071,experiencia_paciente,descartado,,UK-LON,2026-07-16,incidencia_operativa_071
INC-0072,facturacion,abierto,,US-TX,2026-07-17,incidencia_operativa_072
INC-0073,cumplimiento_datos,cerrado,4,US-FL,2026-07-18,incidencia_operativa_073
INC-0074,rrhh,descartado,,US-GA,2026-07-19,incidencia_operativa_074
INC-0075,tecnologia,abierto,,UK-LON,2026-07-20,incidencia_operativa_075
INC-0076,direccion_ejecutiva,cerrado,2,US-TX,2026-07-21,incidencia_operativa_076
INC-0077,operaciones_clinicas,descartado,,US-FL,2026-07-22,incidencia_operativa_077
INC-0078,experiencia_paciente,abierto,,US-GA,2026-07-23,incidencia_operativa_078
INC-0079,facturacion,cerrado,5,UK-LON,2026-07-24,incidencia_operativa_079
INC-0080,cumplimiento_datos,descartado,,US-TX,2026-07-25,incidencia_operativa_080
INC-0081,rrhh,abierto,,US-FL,2026-07-26,incidencia_operativa_081
INC-0082,tecnologia,cerrado,3,US-GA,2026-07-27,incidencia_operativa_082
INC-0083,,abierto,,US-TX,2026-08-01,falta_categoria
INC-0084,facturacion,,3,US-FL,2026-08-02,falta_estado
,tecnologia,cerrado,4,US-GA,2026-08-03,falta_incident_id
INC-0086,marketing,abierto,,UK-LON,2026-08-04,categoria_fuera_catalogo
INC-0087,rrhh,en_revision,,US-TX,2026-08-05,estado_fuera_catalogo
INC-0088,,cerrado,5,US-FL,2026-08-06,falta_categoria_cerrado
INC-0089,operaciones_clinicas,, ,US-GA,2026-08-07,falta_estado_espacio
,experiencia_paciente,abierto,,UK-LON,2026-08-08,falta_incident_id_2
INC-0091,soporte,descartado,,US-TX,2026-08-09,categoria_no_valida_2
INC-0092,cumplimiento_datos,rechazado,,US-FL,2026-08-10,estado_no_valido_2
INC-0093,,,2,US-GA,2026-08-11,faltan_categoria_y_estado
INC-0094,tecnologia,closeded,4,UK-LON,2026-08-12,estado_mal_escrito
INC-0095,finance,open,,US-TX,2026-08-13,categoria_ingles_no_permitida
INC-0096,rrhh,en proceso,,US-FL,2026-08-14,estado_no_admitido_texto
, , , ,US-GA,2026-08-15,registro_vacio_clave
INC-0098,operaciones_clinicas,pending,,UK-LON,2026-08-16,estado_pending_no_permitido
INC-0099,innovation,cerrado,5,US-TX,2026-08-17,categoria_inexistente
INC-0100,experiencia_paciente,inactivo,,US-FL,2026-08-18,estado_invalido
